age,citizenship,event_location,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by
18.0,Palestinian,Rafah,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,shell,Israeli security forces
36.0,Palestinian,Rafah,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,shell,Israeli security forces
21.0,Palestinian,Hebron,Hebron,West Bank,M,Yes,Hebron,Hebron,gunfire,missile,Israeli security forces
28.0,Palestinian,Hebron,Hebron,West Bank,M,Yes,Hebron,Hebron,gunfire,missile,Israeli security forces
21.0,Palestinian,Ramallah,Ramallah and al-Bira,West Bank,M,Unknown,Ramallah,Ramallah and al-Bira,gunfire,missile,Israeli security forces
30.0,Palestinian,Ramallah,Ramallah and al-Bira,West Bank,M,Unknown,Asira a-Shamaliya,Nablus,gunfire,missile,Israeli security forces
32.0,Palestinian,Ramallah,Ramallah and al-Bira,West Bank,M,Unknown,Ein 'Arik,Ramallah and al-Bira,gunfire,missile,Israeli security forces
19.0,Palestinian,Kissufim,Khan Yunis,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
17.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
16.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
33.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Netzarim,Deir al-Balah,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
45.0,Palestinian,Netzarim,Deir al-Balah,Gaza Strip,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Netzarim,Deir al-Balah,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Netzarim,Deir al-Balah,Gaza Strip,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Beit Ummar,Hebron,West Bank,M,Yes,Beit Ummar,Hebron,gunfire,missile,Israeli security forces
30.0,Palestinian,Dugit,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
20.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
19.0,Palestinian,The Perimeter Fence,Israel,Israel,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,The Perimeter Fence,Israel,Israel,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,Jenin,Jenin,West Bank,M,Yes,Jenin,Jenin,gunfire,missile,Israeli security forces
19.0,Palestinian,Jenin,Jenin,West Bank,M,No,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
21.0,Palestinian,Jenin,Jenin,West Bank,M,No,Jenin,Jenin,gunfire,missile,Israeli security forces
23.0,Palestinian,Jenin,Jenin,West Bank,M,Yes,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
15.0,Palestinian,Jenin,Jenin,West Bank,M,No,Jenin,Jenin,gunfire,missile,Israeli security forces
22.0,Palestinian,Gan Or,Gush Katif,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
26.0,Palestinian,Gan Or,Gush Katif,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
29.0,Palestinian,Gan Or,Gush Katif,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
19.0,Palestinian,'Illar,Tulkarm,West Bank,M,Yes,Illar,Tulkarm,gunfire,missile,Israeli security forces
25.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
27.0,Palestinian,Jenin,Jenin,West Bank,M,No,Jenin,Jenin,gunfire,missile,Israeli security forces
12.0,Palestinian,'Askar R.C.,Nablus,West Bank,M,No,Askar R.C.,Nablus,gunfire,missile,Israeli security forces
20.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
25.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
26.0,Palestinian,Nablus,Nablus,West Bank,M,No,Nablus,Nablus,gunfire,missile,Israeli security forces
65.0,Israeli,Tel Aviv,Israel,Israel,M,Israelis,Jaffa,Israel,explosion,explosive belt,Palestinian civilians
32.0,Israeli,Tel Aviv,Israel,Israel,F,Israelis,Tel Aviv,Israel,explosion,explosive belt,Palestinian civilians
67.0,Israeli,Tel Aviv,Israel,Israel,F,Israelis,Giv'atayim,Israel,explosion,explosive belt,Palestinian civilians
22.0,Palestinian,Kfar Darom,Deir al-Balah,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Jenin,Jenin,West Bank,M,Yes,Jenin,Jenin,gunfire,missile,Israeli security forces
13.0,Palestinian,Jenin,Jenin,West Bank,M,No,Jenin,Jenin,gunfire,missile,Israeli security forces
7.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,No,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
47.0,Palestinian,Qalqiliyah,Qalqiliya,West Bank,M,No,Qalqiliya,Qalqiliya,gunfire,missile,Israeli security forces
21.0,Israeli,Morag,Khan Yunis,Gaza Strip,M,Israelis,Tiberias,Israel,gunfire,mortar fire,Palestinian civilians
23.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
27.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
17.0,Palestinian,Yitzhar,Nablus,West Bank,M,No,Urif,Nablus,gunfire,missile,Israeli civilians
20.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
19.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
37.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
17.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
25.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
10.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
30.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
18.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
16.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
24.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
19.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
32.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces
28.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
21.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
20.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
30.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
20.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
26.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,shell,Israeli security forces
46.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,Gaza city,Gaza,gunfire,missile,Israeli security forces
31.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,Gaza city,Gaza,gunfire,missile,Israeli security forces
35.0,Israeli,Rafah,Rafah,Gaza Strip,M,Israelis,Dimona,Israel,explosion,missile,Palestinian civilians
29.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
20.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
18.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
27.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
30.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Rafiah Yam,Gush Katif,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
20.0,Palestinian,Rafiah Yam,Gush Katif,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
19.0,Palestinian,Kissufim,Khan Yunis,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Sufah Checkpoint,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
21.0,Palestinian,Sufah Checkpoint,Rafah,Gaza Strip,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
65.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,F,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
19.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
70.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
21.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
23.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
29.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
16.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
25.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
38.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
25.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
28.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
9.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
37.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
28.0,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces
30.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
22.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
39.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
27.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
24.0,Palestinian,Tofah Checkpoint,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
23.0,Palestinian,Tofah Checkpoint,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
28.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
35.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
20.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces
9.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,F,No,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces
27.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces
18.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
18.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
25.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
16.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
14.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
27.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
16.0,Palestinian,Saida,Tulkarm,West Bank,M,No,Saida,Tulkarm,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
17.0,Palestinian,Kfar Darom,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah Camp,Deir al-Balah,gunfire,missile,Israeli security forces
21.0,Palestinian,Kfar Darom,Deir al-Balah,Gaza Strip,M,Yes,Deir al-Balah Camp,Deir al-Balah,gunfire,missile,Israeli security forces
21.0,Palestinian,Kfar Darom,Deir al-Balah,Gaza Strip,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces
50.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
27.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
13.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya,North Gaza,gunfire,shell,Israeli security forces
30.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
24.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya,North Gaza,gunfire,missile,Israeli security forces
26.0,Palestinian,Jabalya,North Gaza,Gaza Strip,M,No,Jabalya,North Gaza,gunfire,shell,Israeli security forces
13.0,Palestinian,Rafah,Rafah,Gaza Strip,F,No,Rafah,Rafah,gunfire,missile,Israeli security forces
20.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,shell,Israeli security forces
44.0,Palestinian,Sa'ir,Hebron,West Bank,M,Yes,Sa'ir,Hebron,gunfire,missile,Israeli security forces
30.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,Gaza city,Gaza,gunfire,missile,Israeli security forces
42.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
23.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
15.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,F,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
24.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,F,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
40.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces
19.0,Palestinian,Netzer Hazani,Gush Katif,Gaza Strip,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces
28.0,Palestinian,Ramallah,Ramallah and al-Bira,West Bank,M,Unknown,Ramallah,Ramallah and al-Bira,gunfire,missile,Israeli security forces
40.0,Palestinian,Ramallah,Ramallah and al-Bira,West Bank,M,Unknown,Ramallah,Ramallah and al-Bira,gunfire,missile,Israeli security forces
4.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,shell,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
29.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
36.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces
12.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
15.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
28.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,Gaza city,Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Kibbutz Nahal Oz,Israel,Israel,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Kibbutz Nahal Oz,Israel,Israel,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Kibbutz Nahal Oz,Israel,Israel,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
30.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,Object of targeted killing,Gaza city,Gaza,gunfire,missile,Israeli security forces
42.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
21.0,Palestinian,Kibbutz Nahal Oz,Israel,Israel,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
43.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
45.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
20.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
13.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
63.0,Palestinian,Rafah,Rafah,Gaza Strip,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
27.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
28.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
15.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
21.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
19.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
28.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
22.0,Palestinian,Erez (Industrial Zone),North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
26.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
23.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
22.0,Palestinian,Erez (Industrial Zone),North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
23.0,Palestinian,Erez (Industrial Zone),North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
22.0,Israeli,Beit Hanoun,North Gaza,Gaza Strip,M,Israelis,The Upper Galile,Israel,gunfire,grenade,Palestinian civilians
14.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
24.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
25.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces
16.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Gaza city,Gaza,gunfire,shell,Israeli security forces
19.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
33.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
16.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
16.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,No,Jabalya R.C.,North Gaza,gunfire,shell,Israeli security forces
29.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
17.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces
33.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
27.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
65.0,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces
36.0,Israeli,Nissanit,North Gaza,Gaza Strip,F,Israelis,Nissanit,North Gaza,gunfire,missile,Palestinian civilians
26.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces
